gl,bf,proper,dist,absmag,x,y,z
GJ 1276,,,8.0515,16.121,7.664822,-2.274437,-0.950855
Gl 623,,,8.0567,10.739,-2.174286,-4.892451,6.0202
Gl 713A,44Chi Dra,,8.0574,4.019,0.219434,-2.381656,7.694536
NN 4063,,,8.0645,11.887,0.927552,-6.096565,5.196894
Gl 178,1Pi 3Ori,,8.0684,3.656,2.413721,7.63677,0.977904
Gl 686,,,8.086,10.081,-0.738247,-7.628308,2.577969
GJ 2034,,,8.1301,14.81,2.248063,4.877201,-6.103905
GJ 1123,,,8.1301,13.55,-1.297343,1.118177,-7.947648
GJ 1289,,,8.1301,13.02,6.514311,-0.48109,4.840026
Gl 493.1,,,8.1433,13.846,-7.819993,-2.115948,0.806542
Gl 66A,,p Eridani,8.1466,6.245,4.110128,1.912046,-6.7701
Gl 747A,,,8.1566,12.302,2.001475,-6.576,4.386486
Gl 747B,,,8.1566,12.602,2.002064,-6.577939,4.387778
Gl 518,,,8.1833,15.085,-7.45256,-3.339161,0.525186
Gl 54,,,8.194,10.233,2.996021,0.950129,-7.567468
GJ 1151,,,8.2102,13.678,-5.448084,0.214547,6.136058
Gl 884,,,8.2176,8.306,7.334508,-1.956062,-3.148018
Gl 48,,,8.2366,10.401,2.493198,0.697723,7.819133
GJ 1227,,,8.244,13.829,0.377857,-3.845699,7.282264
Gl 831A,,,8.2974,12.365,6.514846,-4.940104,-1.410878
Gl 695A,86Mu  Her,,8.3105,3.822,-0.434406,-7.3437,3.865655
Gl 232,,,8.3333,13.456,-0.822196,7.601565,3.314223
Gl 618A,,,8.3438,10.953,-2.794995,-5.99789,-5.082844
Gl 486,,,8.3703,11.776,-8.06968,-1.713193,1.417736
Gl 695B,,,8.3998,10.729,-0.440255,-7.42238,3.906295
Gl 695C,,,8.3998,11.179,-0.440292,-7.423009,3.906626
Gl 438,,,8.4034,10.738,-5.17841,0.377538,-6.607502
Gl 475,8Bet CVn,,8.4395,4.608,-6.266213,-0.929293,5.576481
NN 3146,,,8.4602,16.153,6.806865,4.613779,1.988623
GJ 1154A,,,8.4602,14.093,-8.443299,-0.526567,0.091746
GJ 1057,,,8.4674,14.161,5.608502,6.304334,0.704946
Gl 618B,,,8.4724,14.51,-2.837867,-6.090101,-5.161273
NN 3076,,,8.4746,14.719,7.77526,2.504849,2.256081
Gl 745A,,,8.5143,11.119,2.295683,-7.616551,3.035818
Gl 185B,,,8.5193,10.848,1.972362,7.690888,-3.088445
,,,8.5529,10.749,4.031777,7.204078,-2.235649
Gl 506,61    Vir,,8.5551,5.079,-7.651172,-2.724657,-2.6878
NN 3517,,,8.5616,19.137,-5.871673,6.20909,-0.521194
Gl 185A,,,8.5771,8.643,1.985393,7.742932,-3.109538
Gl 450,,,8.5852,10.091,-7.003872,0.27144,4.957603
Gl 17,Zet Tuc,,8.5866,4.561,3.631914,0.318885,-7.774227
Gl 877,,,8.6155,10.744,2.078553,-0.598387,-8.338773
GJ 1105,,,8.6162,12.343,-3.192462,5.630519,5.68706
Gl 867B,,,8.6423,11.767,7.585671,-2.807674,-3.043668
Gl 222A,54Chi1Ori,,8.6633,4.702,0.199145,8.12391,3.002187
,,,8.6813,11.717,-0.316527,2.131914,-8.409502
Gl 867A,,,8.6949,9.364,7.631801,-2.824618,-3.062202
NN 3839,,,8.6957,13.403,-6.113698,-4.16477,4.570841
Gl 250B,,,8.7002,10.392,-1.960063,8.439581,-0.786739
Gl 183,,,8.7078,6.52,2.212605,8.376843,-0.872994
Gl 250A,,,8.71,6.88,-1.962415,8.449535,-0.785422
Gl 745B,,,8.7527,11.049,2.364482,-7.829067,3.119241
Gl 791.2,,,8.7566,13.338,5.248184,-6.851996,1.473543
GJ 2069B,,,8.7719,13.605,-5.083298,6.528145,2.913697
NN 3667,,,8.7719,14.075,-8.254211,1.113384,2.752202
Gl 666B,,,8.7866,8.971,-1.072432,-5.937897,-6.38891
GJ 1103A,,,8.7873,13.781,-4.123605,7.762685,-0.000425
GJ 1103B,,,8.7873,15.281,-4.122923,7.760035,-0.000173
Gl 666A,,,8.802,5.747,-1.073804,-5.947684,-6.399284
